Which of these areas of solar physics do you work in? Check all that apply.,How would you describe the stage of your career?,What country is your institution in?,Do you self-identify as one or more underrepresented minorities in solar physics? This question is optional.,Do you self-identify as a unrepresented gender identity in Solar Physics? This question is optional.,Do you use software in your research?,Have you had formal training in programming?,Which of the following statements is most applicable to you?,Which of the following have you personally utilized in your work within the last year?,Have you cited software papers in your published research?,Why haven’t you cited software in your research?,On which of these have you run software for solar-physics research?
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, SunPy, Shell scripting, C, SQL, Ruby, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, Fortran, Java, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Ground-Based),Software developer,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, SunPy, Shell scripting, C, Fortran, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, Shell scripting, Fortran, Julia, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Instrumentation",Postdoc,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, MATLAB, Ruby, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
Numerical Simulations,"Faculty, Staff Scientist, Researcher",Brazil,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, Shell scripting, C, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, GPU"
"Observational (Space-Based), Observational (Ground-Based), Theory","Faculty, Staff Scientist, Researcher",Spain,No,No,Yes,No,I write mostly my own software.,"Python, Shell scripting, Fortran, Javascript, Mathematica, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Regional or National Cluster, GPU"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, SunPy, Github (or similar)",Yes,,"Laptop / Desktop computer, GPU"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Perl, Javascript, HTML/CSS, Spreadsheets (e.g. Excel), Mathematica, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),Postdoc,Czech Republic,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, CASA",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory",Graduate student,Germany,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, C, C++, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Ground-Based), Instrumentation",Software developer,Germany,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Shell scripting, C, C++, Github (or similar)",No,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",Germany,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Fortran, MPI",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Postdoc,Sweden,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, MPI, Github (or similar)",Yes,,Laptop / Desktop computer
Observational (Space-Based),Graduate student,United Kingdom,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, SunPy, Shell scripting, Github (or similar)",Yes,,Laptop / Desktop computer
Observational (Ground-Based),Software developer,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, Javascript, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",No,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation",Graduate student,United States,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Fortran, IRAF, Perl, HTML/CSS, Spreadsheets (e.g. Excel), Mathematica, Github (or similar)",No,I do not think software belongs in citations,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, Fortran, Javascript, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Commercial cloud"
"Observational (Space-Based), Numerical Simulations, Theory",Graduate student,United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, Shell scripting, Perl, Github (or similar)",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
Observational (Ground-Based),Graduate student,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C, C++, Mathematica, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
Observational (Ground-Based),Software developer,Germany,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, SunPy, Shell scripting, SQL, Spreadsheets (e.g. Excel), Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),Software developer,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, C, C++, Github (or similar), CUDA",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, GPU"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Fortran, Perl, HTML/CSS",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",India,No,No,Yes,No,I write mostly my own software.,"Python, Shell scripting, Fortran, Julia, MATLAB, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Graduate student,India,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, SunPy, Github (or similar)",No,I do not think it is necessary,"Laptop / Desktop computer, Local Cluster"
Numerical Simulations,Solar Dimension of Earthquake researches,Turkey,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Spreadsheets (e.g. Excel), Github (or similar)",No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Spain,Yes,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Shell scripting, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Undergraduate student,China,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Switzerland,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, HTML/CSS, Spreadsheets (e.g. Excel)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, GPU"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,Finland,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, GPU"
Observational (Space-Based),Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Shell scripting, SQL, Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Norway,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, Fortran, Julia, HTML/CSS, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
Numerical Simulations,Graduate student,Norway,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C, C++, Fortran, Github (or similar)",No,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
Observational (Ground-Based),Postdoc,Norway,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Fortran, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
Observational (Space-Based),Software developer,Norway,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations",Graduate student,United Kingdom,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Fortran, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Norway,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Norway,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C, C++, Fortran, HTML/CSS, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
"Observational (Ground-Based), Numerical Simulations",Postdoc,Norway,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, Fortran, Julia, MATLAB, Spreadsheets (e.g. Excel), Mathematica, MPI, Github (or similar), OMP",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Numerical Simulations,Graduate student,Norway,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, Fortran, Github (or similar)",No,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,Norway,No,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Software developer,Norway,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, C, C++, Perl, Javascript, SQL, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation",Graduate student,Norway,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, MATLAB, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Github (or similar)",No,,Laptop / Desktop computer
"Numerical Simulations, Theory",Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, Fortran, Perl, MPI, Github (or similar)",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
